cycle,model_id,avg_reward,avg_reward_ci,avg_ep_len,avg_ep_len_ci,goal_reached_rate,best_dist,best_progress,avg_steps,wall_hits,idle_steps,backtracks,novel_steps,unique_cells,final_dist,wall_hit_rate,idle_rate,backtrack_rate,novel_rate,delta_reward,train_goal,train_goal_fraction,timestamp,run_timestamp,game
1,ppo_maze_0,-552.6133333333197,381.95613523656755,2400.0,0.0,0.0,71.0,38.0,2400.0,214.66666666666666,214.66666666666666,1283.0,64.0,65.0,75.0,0.08944444444444444,0.08944444444444444,0.5345833333333333,0.02666666666666667,,,0.35,20260126-074045,20260126-074035,maze
1,ppo_maze_1,-336.80999999999057,90.90199233481457,2400.0,0.0,0.0,71.66666666666667,37.333333333333336,2400.0,96.66666666666667,96.66666666666667,1356.3333333333333,68.66666666666667,69.66666666666667,74.33333333333333,0.04027777777777778,0.04027777777777778,0.5651388888888889,0.02861111111111111,,,0.35,20260126-074045,20260126-074035,maze
2,ppo_maze_0,-336.80999999999057,90.90199233481457,2400.0,0.0,0.0,71.66666666666667,37.333333333333336,2400.0,96.66666666666667,96.66666666666667,1356.3333333333333,68.66666666666667,69.66666666666667,74.33333333333333,0.04027777777777778,0.04027777777777778,0.5651388888888889,0.02861111111111111,215.80333333332914,,0.35,20260126-074108,20260126-074035,maze
2,ppo_maze_1,-214.16166666666678,3.3831360724103483,2400.0,0.0,0.0,77.0,32.0,2400.0,15.666666666666666,15.666666666666666,1363.6666666666667,56.333333333333336,57.333333333333336,80.0,0.006527777777777778,0.006527777777777778,0.5681944444444444,0.023472222222222224,122.64833333332379,,0.35,20260126-074108,20260126-074035,maze
3,ppo_maze_0,-214.16166666666678,3.3831360724103483,2400.0,0.0,0.0,77.0,32.0,2400.0,15.666666666666666,15.666666666666666,1363.6666666666667,56.333333333333336,57.333333333333336,80.0,0.006527777777777778,0.006527777777777778,0.5681944444444444,0.023472222222222224,122.64833333332379,,0.35,20260126-074130,20260126-074035,maze
3,ppo_maze_1,-303.9733333333269,93.35215987004864,2400.0,0.0,0.0,72.0,37.0,2400.0,79.33333333333333,79.33333333333333,1351.3333333333333,67.33333333333333,68.33333333333333,75.0,0.03305555555555556,0.03305555555555556,0.5630555555555555,0.028055555555555556,-89.8116666666601,,0.35,20260126-074130,20260126-074035,maze
4,ppo_maze_0,-303.9733333333269,93.35215987004864,2400.0,0.0,0.0,72.0,37.0,2400.0,79.33333333333333,79.33333333333333,1351.3333333333333,67.33333333333333,68.33333333333333,75.0,0.03305555555555556,0.03305555555555556,0.5630555555555555,0.028055555555555556,-89.8116666666601,,0.35,20260126-074152,20260126-074035,maze
4,ppo_maze_1,-319.83333333332536,120.31020831041594,2400.0,0.0,0.0,74.0,35.0,2400.0,83.33333333333333,83.33333333333333,1322.6666666666667,58.333333333333336,59.333333333333336,77.66666666666667,0.034722222222222224,0.034722222222222224,0.5511111111111111,0.024305555555555556,-15.859999999998479,,0.35,20260126-074152,20260126-074035,maze
5,ppo_maze_0,-319.83333333332536,120.31020831041594,2400.0,0.0,0.0,74.0,35.0,2400.0,83.33333333333333,83.33333333333333,1322.6666666666667,58.333333333333336,59.333333333333336,77.66666666666667,0.034722222222222224,0.034722222222222224,0.5511111111111111,0.024305555555555556,-15.859999999998479,,0.35,20260126-074215,20260126-074035,maze
5,ppo_maze_1,-222.9749999999991,21.55534004185429,2400.0,0.0,0.0,80.0,29.0,2400.0,12.333333333333334,12.333333333333334,1336.3333333333333,55.666666666666664,56.666666666666664,80.66666666666667,0.005138888888888888,0.005138888888888888,0.5568055555555557,0.023194444444444445,96.85833333332624,,0.35,20260126-074215,20260126-074035,maze
6,ppo_maze_0,-222.9749999999991,21.55534004185429,2400.0,0.0,0.0,80.0,29.0,2400.0,12.333333333333334,12.333333333333334,1336.3333333333333,55.666666666666664,56.666666666666664,80.66666666666667,0.005138888888888888,0.005138888888888888,0.5568055555555557,0.023194444444444445,96.85833333332624,,0.35,20260126-074237,20260126-074035,maze
6,ppo_maze_1,-402.67166666666327,244.17433099882408,2400.0,0.0,0.0,79.33333333333333,29.666666666666668,2400.0,106.33333333333333,106.33333333333333,1318.0,55.666666666666664,56.666666666666664,80.0,0.04430555555555556,0.04430555555555556,0.5491666666666667,0.023194444444444445,-179.69666666666416,,0.35,20260126-074237,20260126-074035,maze
